ntee,description,title,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84,keywords/85,keywords/86,keywords/87,keywords/88,keywords/89,keywords/90,keywords/91,keywords/92,keywords/93,keywords/94,keywords/95,keywords/96,keywords/97,keywords/98,keywords/99,keywords/100,keywords/101,keywords/102,keywords/103,keywords/104,keywords/105,keywords/106,keywords/107,keywords/108,keywords/109,keywords/110,keywords/111,keywords/112,keywords/113,keywords/114,keywords/115,keywords/116,keywords/117,keywords/118,keywords/119,keywords/120,keywords/121,keywords/122,keywords/123,keywords/124,keywords/125,keywords/126,keywords/127,keywords/128,keywords/129,keywords/130,keywords/131,keywords/132,keywords/133,keywords/134,keywords/135,keywords/136,keywords/137,keywords/138,keywords/139,keywords/140,keywords/141,keywords/142,keywords/143,keywords/144,keywords/145,keywords/146,keywords/147,keywords/148,keywords/149,keywords/150,keywords/151,keywords/152,keywords/153,keywords/154,keywords/155,keywords/156,keywords/157,keywords/158,keywords/159,keywords/160,keywords/161,keywords/162,keywords/163,keywords/164,keywords/165,keywords/166,keywords/167,keywords/168,keywords/169,keywords/170,keywords/171,keywords/172,keywords/173,keywords/174,keywords/175,keywords/176,keywords/177,keywords/178,keywords/179,keywords/180,keywords/181,keywords/182,keywords/183,keywords/184,keywords/185,keywords/186,keywords/187,keywords/188,keywords/189,keywords/190,keywords/191,keywords/192,keywords/193,keywords/194,keywords/195,keywords/196,keywords/197,keywords/198,keywords/199,keywords/200,keywords/201,keywords/202,keywords/203,keywords/204,keywords/205,keywords/206,keywords/207,keywords/208,keywords/209,keywords/210,keywords/211,keywords/212,keywords/213,keywords/214,keywords/215,keywords/216,keywords/217,keywords/218,keywords/219,keywords/220,keywords/221,keywords/222,keywords/223,keywords/224
A24,"Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures
and organizations that perform, present and support folk art in a specific region.",Folk Arts,Folk Art,Folk Culture,Folk Dance,Folk Dancing,Folk Life,Folk Singing,Folk Songs,Folkart,Naive Art,Old Songs,Traditional Arts,Traditional Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A25,Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.,Arts Education,Art Classes (non-degree),Art Instruction (non-degree),Art Schools (non-degree),Arts Education or art education (non-degree),Arts Workshops,Informal Arts Education,Informal Arts Instruction,Schools of Art (non-degree),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A26,"Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community. ",Arts & Humanities Councils & Agencies,Arts Agencies,Arts Alliances,Arts and Humanities Councils,Arts Councils,Councils on the Arts,Humanities Councils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27,"Organizations that are engaged in the promotion, production or performance of community and public celebratory events.",Community Celebrations,Arts Fairs,Arts Festivals,Celebratory Events,Community Celebrations,First Nights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30,"Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.",Media & Communications,Broadcasting,Communications,Electronic Media,Media,Public Servers,Web Site Development,Web Site Hosting,Website Development,Website Hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A31,"Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.",Film & Video,Documentary Film Production,Film,Film Appreciation,Film Expositions,Film Festivals,Film Preservation,Film Production,Foreign Films,Holographic Images,Holography,Independent Film Makers,Video,Video Appreciation,Video Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A32,"Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.",Television,Cable Television,Cable TV,Closed Circuit Television,Community Access Television,Community Television,Educational Television,Interactive Television,Public Television,School Television,Television Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33,Organizations that publish a variety of materials on diverse topics. Includes university presses.,Printing & Publishing,Book Publishing,Journalism,Literary Journals and Presses,Magazine Publishing,Newspaper Publishing,Publications,Publishing,University Presses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34,"Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).",Radio,National Public Radio,NPR,Public Radio Broadcasting,Radio Reading Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40,Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.,Visual Arts,Architectural Centers,Architectural Services,Art Conservation,Art Galeeries,Art Printmaking,Ceramic Arts,Clay Arts,Computer Art,Crafts,Decorative Arts,Drawing,Enamelwork,Experimental Arts,Fiber Art,Fine Arts,Glass Arts,Intermedia,Jewelry Arts,Lacquer Work,Metal Arts,Mixed Media,Mosaics,Origami,Painting,Paper Arts,Photography,Pottery,Printmaking,Quilting,Sculpture,Stained Glass,Studio Arts,Textile Arts,Visual Arts,Visual Arts Appreciation,Weaving Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50,"Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.",Museums,Archaeological Museums,Archeological Museums,Automobile Museums,Boat Museums,Circus Museums,Comedy Museums,Crime Museums,Culture-Specific Museums,Doll Museums,Film Museums,Fire-Fighting Museums,Forestry Museums,Gun Museums,Hall of Fame,Historic Ships,Hobby Museums,Holocaust Museums,Lapidary Arts Museums,Logging/Lumber Museums,Mapparium Museums,Marine Museums,Maritime Museums,Model Train Museums,Money/Numismatic Museums,Motion Picture Museums,Musical Instrument Museums,Naval Museums,Observatories,Philatelic Museums,Planetaria,Planetarium,Postal Museums,Railroad Museums,Religious Museums,Scouting Museums,Ship Museums,Specialized Museums,Sport Halls of Fame,Sports Museums,Theater Museums,Toy Museums,Train Museums,Transportation Museums,Video Museums,Visitors Center,Wax Museums,Whaling Museums,Woodcarving Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A51,"Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.",Art Museums,Art Exhibitions,Art Galleries,Contemporary Art Museums,Decorative Art Museums,Ethnic Art Museums,Folk Art Museums,Modern Art Museums,Textile Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A52,"Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits.  NOTE:  See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.",Children's Museums,Discovery Museums,Youth Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A53,"Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.",Folk Arts Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A54,"Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.",History Museums,Local Art & History Museums,Historic House Museums,Historical Society Museum,Colonial Farm Museums,Costume Museums,Interpretive Farm Museums,History Museums,Living History Museums,Military Museums,War Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A56,"Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.",Natural History & Natural Science Museums,Anthropology Museums,Entomology Museums,Ethnology Museums,Geology Museums,Herbarium Museums,Herpetology Museums,Mineralogy Museums,Natural History Museums,Natural Science Museums,Ornithology Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A57,Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.,Science & Technology Museums,Agriculture Museums,Aeronautical Museums,Aeronautics and Space Museums,Aerospace Museums,Air and Space Museums,Astronomy Museums,Communications Museums,Industrial Museums,Medical Science Museums,Mining Museums,Pharmacology Museums,Science Museums,Space Museums,Technology Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60,"Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",Performing Arts,Circus Arts,Experimental Companies,Multimedia Companies,Performing Arts,Performing Arts Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61,Organizations that operate facilities including theaters for the performing arts.,Performing Arts Centers,Performing arts theater facilities,Theater facilities,Performing arts presenters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A62,"Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.",Dance,African Dance,Choreography,Contra Dance,Country and Western Dance,Dance Companies,Dance Festivals,Dance Groups,Ethnic Dance,Flamenco Ballet,Flamenco Dancing,Folk Dance,Interpretive Dance,Irish Dance,Israeli Dance,Jazz Dance,Line Dance,Modern Dance,Polka,Square Dance,Tap Dance,Traditional Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A63,Dance organizations that create and/or perform primarily ballet.,Ballet,Ballet Companies,Ballet Troupes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
