"ntee","description","definition","BroadCategory","MajorGroup","two.digit","type.org","two.digit.s","tens","ones","hosp","univ"
"B84","Alumni Associations","Organizations whose members are graduates of a particular educational institution who provide support for the institution in the form of financial contributions, student recruitment efforts, promotional activities, fund-raising events and continued ties with the academic program.",2,"B","84","regular","84","8","4",FALSE,FALSE
"B90","Educational Services","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.",2,"B","90","regular","90","9","0",FALSE,FALSE
"B92","Remedial Reading & Encouragement","Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills.",2,"B","92","regular","92","9","2",FALSE,FALSE
"B94","Parent & Teacher Groups","Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.",2,"B","94","regular","94","9","4",FALSE,FALSE
"B99","Education N.E.C.","Use this code for organizations that clearly provide education services where the major purpose is unclear cannot be accurately assigned.",2,"B","99","regular","99","9","9",FALSE,FALSE
"C01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Environment major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",3,"C","01","speciality","01","0","1",FALSE,FALSE
"C02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Environment major group area.",3,"C","02","speciality","02","0","2",FALSE,FALSE
"C03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Environment major group area.",3,"C","03","speciality","03","0","3",FALSE,FALSE
"C05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Environment major group area.",3,"C","05","speciality","05","0","5",FALSE,FALSE
"C11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Environment major group area.",3,"C","11","speciality","11","0","1",FALSE,FALSE
"C12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Environment major group area.",3,"C","12","speciality","12","0","2",FALSE,FALSE
"C19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Environment major group area.",3,"C","19","speciality","19","0","9",FALSE,FALSE
"C20","Pollution Abatement & Control","Organizations which seek to ensure that communities have a clean and healthful environment that is free from air and water pollution, pesticides and other hazardous substances, damaging radiation and excessive levels of noise.",3,"C","20","regular","20","2","0",FALSE,FALSE
"C27","Recycling","Organizations that collect and process paper, aluminum, glass, and other materials that can be recycled and reused.",3,"C","27","regular","27","2","7",FALSE,FALSE
"C30","Natural Resources Conservation & Protection","Organizations that protect our natural resources from abuse, neglect, waste or exploitation and preserve their availability for future generations.",3,"C","30","regular","30","3","0",FALSE,FALSE
"C32","Water Resources, Wetlands Conservation & Management","Organizations that preserve and protect water resources from indiscriminate waste and ensure that the supply of quality water is adequate to meet the needs of the public, agriculture and industry. Also included are organizations that preserve and manage coastal lands including shorelines, coastal waters and lands extending inland from the shore which affect coastal waters; bays, lakes, rivers, wetlands, estuaries, watersheds and other aquatic habitats.",3,"C","32","regular","32","3","2",FALSE,FALSE
"C34","Land Resources Conservation","Organizations that preserve and protect endangered land resources from indiscriminate development, destruction or decay and which manage the utilization of renewable and nonrenewable resources to ensure ongoing availability. Included are conservation of the nations forests, rangeland, vegetation, deserts, wild and scenic rivers and other wilderness areas and open land spaces; and reestablishment of areas that have been devastated by destructive activities such as strip mining or other destructive activities.",3,"C","34","regular","34","3","4",FALSE,FALSE
"C35","Energy Resources Conservation & Development","Organizations that conserve existing energy resources, ensure efficient use of available energy and develop new energy resources while protecting the quality of the environment.",3,"C","35","regular","35","3","5",FALSE,FALSE
"C36","Forest Conservation","Organizations involved with forest lands and the protection of the nations forests from insects, disease, fire, erosion, air pollution and other destructive forces.",3,"C","36","regular","36","3","6",FALSE,FALSE
"C40","Botanical, Horticultural & Landscape Services","Organizations that are involved in the cultivation of plant life for a variety of purposes.",3,"C","40","regular","40","4","0",FALSE,FALSE
"C41","Botanical Gardens & Arboreta","Organizations that plant, maintain and display for public study and enjoyment collections of flowers, trees, shrubs and ground cover, some of which are rare and exotic.",3,"C","41","regular","41","4","1",FALSE,FALSE
"C42","Garden Clubs","Organizations that provide organized opportunities for individuals to pursue their interest in ornamental plants, flowers, trees, shrubs, house plants, herbs, garden fruits and vegetables or other species of plants.",3,"C","42","regular","42","4","2",FALSE,FALSE
"C50","Environmental Beautification","Organizations that enhance the aesthetic characteristics of the built environment by acquiring and preserving open spaces for public enjoyment; planting trees, flowers and shrubs in public places; conducting recycling and roadside cleanup campaigns; and engaging in other environmental beautification activities.",3,"C","50","regular","50","5","0",FALSE,FALSE
"C60","Environmental Education","Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance.",3,"C","60","regular","60","6","0",FALSE,FALSE
"C99","Environment N.E.C.","Use this code for organizations that clearly provide environmental quality services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",3,"C","99","regular","99","9","9",FALSE,FALSE
"D01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Animal-Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",3,"D","01","speciality","01","0","1",FALSE,FALSE
"D02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Animal-Related major group area.",3,"D","02","speciality","02","0","2",FALSE,FALSE
"D03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Animal-Related major group area.",3,"D","03","speciality","03","0","3",FALSE,FALSE
"D05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Animal-Related major group area.",3,"D","05","speciality","05","0","5",FALSE,FALSE
"D11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Animal-Related major group area.",3,"D","11","speciality","11","0","1",FALSE,FALSE
"D12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Animal-Related major group area.",3,"D","12","speciality","12","0","2",FALSE,FALSE
"D19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Animal-Related major group area.",3,"D","19","speciality","19","0","9",FALSE,FALSE
"D20","Animal Protection & Welfare","Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals.",3,"D","20","regular","20","2","0",FALSE,FALSE
"D30","Wildlife Preservation & Protection","Organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",3,"D","30","regular","30","3","0",FALSE,FALSE
"D31","Protection of Endangered Species","Organizations that identify and promote laws for the protection of species of birds, animals, fish or other wildlife that are at risk of extinction; and/or which sponsor programs for breeding endangered species in captivity and releasing them to selected habitats in the wild in which they are given a better chance for survival.",3,"D","31","regular","31","3","1",FALSE,FALSE
"D32","Bird Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild birds by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.",3,"D","32","regular","32","3","2",FALSE,FALSE
"D33","Fisheries Resources","Organizations that provide for the conservation, protection and management of different species of fish by establishing coastal, lake, reservoir or other inland fisheries where different species of fish are hatched in protected environments and used to stock public waters that have been depleted.",3,"D","33","regular","33","3","3",FALSE,FALSE
"D34","Wildlife Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild animals by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.",3,"D","34","regular","34","3","4",FALSE,FALSE
"D40","Veterinary Services","Organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems.",3,"D","40","regular","40","4","0",FALSE,FALSE
"D50","Zoos & Aquariums","Organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing.",3,"D","50","regular","50","5","0",FALSE,FALSE
"D60","Animal Services N.E.C.","Organizations that offer services which help individuals develop an understanding of the animal species in which they have an interest and/or to work more effectively with their pets.",3,"D","60","regular","60","6","0",FALSE,FALSE
"D61","Animal Training","Organizations that provide classes for people who want to develop a basic understanding and control of their pets \[These are typically section 501(c)(7) exempt organizations\].",3,"D","61","regular","61","6","1",FALSE,FALSE
"D99","Animal-Related N.E.C.","Use this code for organizations that clearly provide animal-related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",3,"D","99","regular","99","9","9",FALSE,FALSE
"E01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Health - General and Rehabilitative major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",4,"E","01","speciality","01","0","1",FALSE,FALSE
"E02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Health - General and Rehabilitative major group area.",4,"E","02","speciality","02","0","2",FALSE,FALSE
"E03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Health - General and Rehabilitative major group area.",4,"E","03","speciality","03","0","3",FALSE,FALSE
"E05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Health - General and Rehabilitative major group area.",4,"E","05","speciality","05","0","5",FALSE,FALSE
"E11","Single Organization Support","Organizations existing as a support and fund-raising entity for single institutions, multihospital health care systems, and similar diversified health systems comprised of closely-affiliated organizations within the Health Care major group area.",4,"E","11","speciality","11","0","1",FALSE,FALSE
"E12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Health - General and Rehabilitative major group area.",4,"E","12","speciality","12","0","2",FALSE,FALSE
"E19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance, fund raising, or patient care services for other organizations within the Health General and Rehabilitative major group area.",4,"E","19","speciality","19","0","9",FALSE,FALSE
"E20","Hospitals","Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.",12,"E","20","regular","20","2","0",TRUE,FALSE
"E21","Community Health Systems","Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization. Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",12,"E","21","regular","21","2","1",TRUE,FALSE
"E22","General Hospitals","Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",12,"E","22","regular","22","2","2",TRUE,FALSE
"E24","Specialty Hospitals","Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.",12,"E","24","regular","24","2","4",TRUE,FALSE
"E30","Ambulatory & Primary Health Care","Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. Use this code for types of outpatient facilities or services not specified below.",4,"E","30","regular","30","3","0",FALSE,FALSE
"E31","Group Health Practices","Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",4,"E","31","regular","31","3","1",FALSE,FALSE
"E32","Community Clinics","Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",4,"E","32","regular","32","3","2",FALSE,FALSE
"E40","Reproductive Health Care","Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. Use this code for organizations other than family planning centers that offer reproductive health services.",4,"E","40","regular","40","4","0",FALSE,FALSE
"E42","Family Planning","Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. Use this code for Planned Parenthood organizations.",4,"E","42","regular","42","4","2",FALSE,FALSE
"E50","Rehabilitative Care","Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society.",4,"E","50","regular","50","5","0",FALSE,FALSE
"E60","Health Support","Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. Use this code for organizations that provide a wide range of health support services or which offer services not specified below.",4,"E","60","regular","60","6","0",FALSE,FALSE
"E61","Blood Banks","Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible.",4,"E","61","regular","61","6","1",FALSE,FALSE
"E62","Emergency Medical Services & Transport","Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.",4,"E","62","regular","62","6","2",FALSE,FALSE
"E65","Organ & Tissue Banks","Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations.",4,"E","65","regular","65","6","5",FALSE,FALSE
"E6A","Pharmacies and drug stores","NULL",4,"E","6A","regular","6A","6","A",FALSE,FALSE
"E70","Public Health","Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",4,"E","70","regular","70","7","0",FALSE,FALSE
"E80","Health (General & Financing)","Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.",4,"E","80","regular","80","8","0",FALSE,FALSE
"E86","Patient & Family Support","Organizations that provide support services to patients and their families. Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill child’s final days, weeks and months more pleasant. (rev. 9/2005)",4,"E","86","regular","86","8","6",FALSE,FALSE
"E90","Nursing","Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.",4,"E","90","regular","90","9","0",FALSE,FALSE
"E91","Nursing Facilities","Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.",4,"E","91","regular","91","9","1",FALSE,FALSE
"E92","Home Health Care","Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.",4,"E","92","regular","92","9","2",FALSE,FALSE
"E99","Health Care N.E.C.","Use this code for organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",4,"E","99","regular","99","9","9",FALSE,FALSE
